TARGET_NAME	median	max	purity.x	p.med	nsample	ID	purity.y
I-H-106909-T3-1-D1-1	0.261	0.261	0.522	0.522	CG16-5954	20161227_163018_002_CG16-5954_TR_02	0.68
I-H-112854-T3-1-D1-1	0.4325	0.471	0.942	0.865	CG16-3843	20160829_160148_001_CG16-3843-F,E-02	0.85
I-H-130556-T3-1-D1-1	0.373	0.373	0.746	0.746	CG16-4159	20160914_160005_005_CG16-4159-Y,R-05	1
I-H-130566-T2-1-D1-1	0.4	0.4	0.8	0.8	CG15-4506	20151119_052023_004_CG15-4506_C,D_04	0.76
I-H-130570-T2-1-D1-1	0.252	0.252	0.504	0.504	CG15-3310	20150826_164535_006_CG15-3310_A,M_06	0.75
I-H-130581-T2-1-D1-1	0.4285	0.435	0.87	0.857	CG16-0311	20160129_051133_003_CG16-311_D,R_03	0.82
I-H-130632-T2-1-D1-1	0.315	0.315	0.63	0.63	CG16-0939	20160309_165713_005_CG16-939_M,T_05	0.74
I-H-130642-T2-1-D1-1	0.3905	0.396	0.792	0.781	CG16-1572	20160414_173750_004_CG16-1572_P,L_04	0.8
I-H-130664-T2-1-D1-1	0.139	0.139	0.278	0.278	CG16-1338	20160331_170201_001_CG16-1338_C,V_01	0.74
I-H-130688-T2-1-D1-1	0.44	0.44	0.88	0.88			
I-H-134085-T2-1-D1-1	0.477	0.477	0.954	0.954	CG16-5795	20161221_161337_001_CG16-5795-D,J-01	0.68
I-H-135222-T1-1-D1-1	0.408	0.408	0.816	0.816	CG18-1552	20180322_152916_002_CG18-1552_G,S_02	0.75
I-H-135231-T1-1-D1-1	0.589	0.589	1.178	1.178	CG15-4012	20151016_043436_004_CG15-4012_V,A_04	0.76
I-H-135233-T1-1-D1-1	0.2845	0.285	0.57	0.569	CG16-1381	20160331_170203_003_CG16-1381_A,S_03	1
I-H-135234-T1-1-D1-1	0.157	0.157	0.314	0.314	CG18-0185	20180115_144836_003_CG18-185_T,A_3	0.43
I-H-135235-T1-1-D1-1	0.39	0.39	0.78	0.78	CG18-1662	20180329_175357_002_CG18-1662_P,S_2	0.78
I-H-135243-T1-1-D1-1	0.372	0.372	0.744	0.744	CG18-2578	20180509_150626_006_CG18-2578_D,S-06	0.75
I-H-135245-T1-1-D1-1	0.233	0.233	0.466	0.466	CG17-6651	20171130_150704_003_CG17-6651_R,S_03	0.48
I-H-135247-T1-1-D1-1	0.162	0.162	0.324	0.324	CG16-1506	20160407_165650_005_CG16-1506_L,P_05	0.43
I-H-135248-T1-1-D1-1	0.342	0.342	0.684	0.684	CG18-0506	20180201_145506_002_CG18-506_C,J_2	0.78
I-H-135249-T1-1-D1-1	0.457	0.457	0.914	0.914	CG17-3548	20170710_151554_002_CG17-3548_V,DS_02	0.79
I-H-135251-T1-1-D1-1	0.388	0.388	0.776	0.776	CG17-6720	20171207_154314_002_CG17-6720_K,A_02	0.8
I-H-135255-T1-1-D1-1	0.45	0.45	0.9	0.9	CG17-3550	20170710_151555_003_CG17-3550_K,NJ_03	0.77
I-H-135256-T1-1-D1-1	0.433	0.433	0.866	0.866	CG17-4557	20170824_155231_004_CG17-4557-B,A-04	0.63
I-H-135259-T1-1-D1-1	0.082	0.131	0.262	0.164	CG15-4255	20151105_045407_002_CG15-4255_B,E_02	0.82
I-H-135263-T1-1-D1-1	0.466	0.466	0.932	0.932	CG17-4650	20170831_103731_002_CG17-4650_I,H-02	0.73
I-H-135264-T1-1-D1-1	0.339	0.339	0.678	0.678	CG17-6786	20171211_155912_004_CG17-6786_S,D_04	0.71
I-H-135266-T1-1-D1-1	0.15	0.15	0.3	0.3			
I-H-135268-T1-1-D1-1	0.342	0.562	1.124	0.684	CG18-0886	20180221_155317_002_CG18-886_G,J_02	0.74
I-H-135269-T1-1-D1-1	0.337	0.337	0.674	0.674	CG17-3639	20170717_162430_002_CG17-3639_C,D_02	0.75
I-H-135270-T1-2-D1-1	0.359	0.359	0.718	0.718	CG17-4705	20170831_103736_007_CG17-4705_C,Y-07	0.29
I-H-135271-T1-1-D1-1	0.1875	0.233	0.466	0.375	CG15-3561	20150918_050839_001_CG15-3561_L,J_01	0.77
I-H-135274-T1-1-D1-1	0.246	0.246	0.492	0.492	CG16-2292	20160531_162438_005_CG16-2292-A,E-05	0.75
I-H-135276-T1-1-D1-1	0.3005	0.332	0.664	0.601	CG17-3854	20170720_153105_007_CG17-3854-07	0.77
I-H-135278-T1-1-D1-1	0.431	0.431	0.862	0.862	CG15-3563	20150918_050843_002_CG15-3563_K,L_02	0.75
I-H-135280-T1-1-D1-1	0.385	0.385	0.77	0.77	CG16-0928	20160309_165711_003_CG16-928_F,C_03	0.75
I-H-135286-T1-1-D1-1	0.44	0.44	0.88	0.88	CG15-3794	20151001_053217_002_CG15-3794_D,L_02	0.83
I-H-135295-T1-1-D1-1	0.423	0.457	0.914	0.846			
I-H-135297-T1-1-D1-1	0.455	0.455	0.91	0.91	CG15-3052	20150812_163645_005_CG15-3052_M,C_06	1
I-H-135299-T1-1-D1-1	0.103	0.18	0.36	0.206	CG15-4778	20151204_050608_005_CG15-4778_K,G_05	0.38
I-H-135305-T1-1-D1-1	0.444	0.444	0.888	0.888	CG16-3678	20160817_141318_002_CG16-3678-N,J-02	0.76
I-H-135308-T1-1-D1-1	0.158	0.28	0.56	0.316	CG15-4882	20151211_050247_002_CG15-4882_W,M_02	0.69
I-H-135310-T1-1-D1-1	0.1405	0.238	0.476	0.281	CG16-5799	20161219_162513_004_CG16-5799_SF_04	0.73
I-H-135322-T1-1-D1-1	0.353	0.353	0.706	0.706	CG16-0459	20160205_051107_002_CG16-459_M,F_02	0.92
